0,0
0,1
0,2
0,3
1,4
1,5
1,6
2,7
2,8
2,9
2,10
3,11
3,12
3,13
3,14
3,15
3,16
4,17
4,18
4,19
4,20
5,21
5,22
5,23
6,24
6,25
6,26
6,27
6,28
7,29
7,30
8,31
8,32
9,33
9,34
9,35
9,36
9,37
9,38
9,39
10,40
10,41
10,42
10,43
10,44
11,45
11,46
11,47
11,48
11,49
11,50
12,51
13,52
13,53
13,54
13,55
13,56
13,57
14,58
14,59
14,60
14,61
15,62
15,63
16,64
16,65
16,66
17,67
17,68
18,69
18,70
18,71
18,72
18,73
19,74
19,75
19,76
20,77
21,78
21,79
22,80
22,81
22,82
22,83
22,84
22,85
22,86
22,87
22,88
22,89
22,90
23,91
23,92
23,93
23,94
24,95
24,96
24,97
25,98
25,99
26,100
26,101
27,102
27,103
27,104
27,105
27,106
28,107
28,108
29,109
29,110
29,111
29,112
29,113
29,114
30,115
30,116
31,117
31,118
31,119
31,120
32,121
32,122
32,123
32,124
32,125
32,126
33,127
34,128
34,129
34,130
34,131
35,132
35,133
35,134
35,135
36,136
36,137
37,138
37,139
37,140
38,120
38,141
39,142
39,143
41,144
41,145
41,146
42,147
42,148
42,149
42,150
42,151
44,152
44,153
44,154
45,155
45,156
45,157
45,158
45,159
45,160
46,161
46,162
47,163
47,164
47,165
48,166
48,167
48,168
48,169
48,170
48,171
48,172
49,173
49,174
49,175
50,176
50,177
51,178
51,179
52,180
53,181
53,182
53,183
53,184
53,185
54,186
54,187
54,188
54,189
54,190
54,191
54,192
54,193
54,194
55,195
55,196
55,197
56,198
56,199
57,200
57,201
58,202
58,203
59,204
59,205
59,206
60,207
60,208
61,209
61,210
61,211
61,212
62,213
62,214
62,215
63,216
63,217
63,218
64,219
64,220
65,221
65,222
65,223
66,224
66,225
66,226
67,227
67,228
67,229
67,230
68,231
68,232
69,233
69,234
69,235
69,236
69,237
69,238
69,239
69,240
69,241
69,242
69,243
70,244
70,245
71,246
71,247
72,248
73,249
73,250
74,251
74,252
74,253
74,254
74,255
74,256
75,257
75,258
75,259
76,260
76,261
76,262
77,263
77,264
77,265
77,266
78,267
78,268
79,269
79,270
79,271
80,272
80,273
80,274
80,275
80,276
80,277
80,278
80,279
80,280
80,281
80,282
80,283
80,284
81,285
81,286
81,287
81,288
81,289
81,290
81,291
81,292
81,293
81,294
81,295
81,296
82,297
82,298
82,299
82,300
82,301
82,302
82,303
82,304
82,305
82,306
82,307
82,308
82,309
82,310
82,311
83,312
83,313
83,314
83,315
83,316
83,317
83,318
83,319
83,320
83,321
84,322
84,323
84,324
84,325
84,326
84,327
84,328
84,329
84,330
84,331
84,332
85,333
85,334
85,335
85,336
85,337
85,338
85,339
85,340
85,341
85,342
85,343
85,344
85,345
86,346
86,347
86,348
86,349
86,350
86,351
86,352
86,353
86,354
86,355
86,356
87,357
88,358
88,359
88,360
89,361
89,362
90,363
90,364
90,365
90,366
90,367
90,368
91,369
91,370
92,371
92,372
92,373
92,374
93,375
93,376
93,377
93,378
93,379
94,380
94,381
95,382
95,383
95,384
96,385
96,386
96,387
97,388
97,389
97,390
98,391
98,392
98,393
98,394
99,395
99,396
99,397
100,398
100,399
100,400
100,401
100,402
100,403
100,404
101,405
101,406
101,407
101,408
102,409
102,410
102,411
102,412
102,413
102,414
102,415
102,416
102,417
102,418
102,419
102,420
102,421
102,422
102,423
102,424
102,425
102,426
102,427
102,428
102,429
102,430
102,431
102,432
102,433
103,434
103,435
103,436
103,437
104,438
104,439
105,440
105,441
105,442
105,443
105,444
105,445
106,446
106,447
106,448
106,449
106,450
107,451
107,452
107,453
107,454
108,455
108,456
109,457
109,458
110,459
110,460
110,461
110,462
111,463
111,464
111,465
111,466
111,467
112,468
112,469
112,470
112,471
112,472
112,473
113,474
113,475
113,476
114,477
114,478
115,479
115,480
115,481
117,482
117,483
118,484
118,485
118,486
118,487
119,488
119,489
120,490
120,491
120,492
120,493
120,494
120,495
120,496
120,497
121,498
121,499
121,500
122,501
122,502
122,503
122,504
122,505
122,506
122,507
122,508
122,509
123,510
123,511
123,512
123,513
123,514
123,515
123,516
123,517
124,518
124,519
125,520
125,521
125,522
125,523
125,524
126,525
126,526
127,527
127,528
127,529
127,530
127,531
128,532
128,533
128,534
128,535
128,536
128,537
129,538
129,539
129,540
130,541
130,542
130,543
131,544
131,545
131,546
132,547
132,548
